algorithmName;runTime;counter;depth;allocation
MergeSort;1371388;130000;0;1
MergeSort;1278450;130000;0;1
QuickSort;3365657;130000;1;0
DeterministicSelect;2780918;10000;0;0
ClosestPair2D;38566716;130000;0;2
MergeSort;1797046;128370;0;1
QuickSort;7471063;170466;1;0
DeterministicSelect;6319106;20363;0;0
ClosestPair2D;49086205;12997;0;2
MergeSort;3315615;128370;0;1
QuickSort;5691231;178715;1;0
DeterministicSelect;3151154;20363;0;0
ClosestPair2D;21287096;12997;0;12285
MergeSort;2355698;128370;11;1
QuickSort;2774912;157076;1;0
DeterministicSelect;3402620;20363;1;0
ClosestPair2D;22529318;12997;13;12285
